urdu,roman_urdu
میرے پاس 1 بلی تھی,Mere paas 1 billi thi.
اور میں اُسے کھانا دے دیتا تھا,Aur mein usay khana dey deta tha.
تمہیں اُس دِن پر رونا چاہئے جو تم نے نیکی کے بغیر گزار دیا,Tumhain us din par rona chaheye jo tum nai neki k baghair guzar dia.
اپنے علم پر عمل نہ کرنا، نعمتوں پے شکر نہ کرنا اور گناہوں سے توبہ نہ کرنے سے بھلائی کا دروازہ بند ہوجاتا ہے,"Apne ilm pe amal na karna, nimatun pe shukr na karna or gunahu se tauba na karne se bhalai ka darwaza band hujata he."
مومن وہ نہیں جس کی محفل پاک ہو، بلکہ مومن وہ ہے جس کی تنہائی پاک ہو,"Momin Woh nahi Jis ki Mehfil Pak ho, balkeh Momin Woh ha Jis ki Tanhai Pak ho."
وہ شخص کس طرح تکبر کر سکتا ہے، جو مٹی سے بنا ہو، مٹی میں ملنے والا ہو,"Wo Shaksh Kis Tarha Takabur Kar Sakta Hai, Jo Mitti Se Bana Ho, Mitti Me Milne Wala Ho."
میں نے زندگی کی سب سے بڑی سچائی قبرستان کے باہر لکھی دیکھی۔ منزل تو میری یہی تھی، بس زندگی گزر گئی یہاں آتے آتے,"Me ne Zindgi ki sb se bri sachaai Qabristaan k bahir likhi dekhi. Manzil To Meri Yahi Thi, Bas Zindgi Guzar Gai Yahan aatay aatay"
کبھی بھی کامیابی کو دماغ میں اور ناکامی کو دل میں جگہ نہ دینا,Kbhi b kamyabi ko dimagh me or nakami ko Dil me Jaga na dena
وہ لوگ کسی کے نہیں ہوتے جو دوست اور رشتے کو لباس کی طرح بدلتے ہیں,Wo Log kisi k Nhi hoty Jo Dost or Rishty ko Libas ki tarha badlty hain
دولت مٹی کی طرح ہے اور مٹی کو پیر کے نیچے رہنا چاہئے۔ اگر سر پے چڑھاﺅ گے تو قبر بن جائے گی اور قبر زندہ انسانوں کے لئے نہیں ہوتی,Dolat Mitti ki tarhan hy aur mitti ko pair k niche rehna chahyay. Agar Sir pe charhao gay to Qabar Ban jaiy gi Aur Qabar zinda Insano k liye Nhe hoti.
دنیا کا جو مال اب تمہارے ہاتھ میں ہے تم سے پہلے بھی اُس کے مالک ہو گزرے ہیں اور تمہارے بعد یہی مال کسی اور مالک کے پاس چلا جانے والا ہے,Dunya ka jo maal ab tumhary hath mein hay tum se pehly bhi us kay maalik ho guzry hein aur tumhary baad yehi maal kisi aur maalik kay paas chala jany wala hay.
اپنا تو کسی طور کٹ جائے گا یہ دِن، تم جس سے ملو آج اُس کو عید مبارک,"Apna to kisi Tour katt jaye ga ye Din, Tum jis se milo aaj us ko Eid Mubarak"
آپ نہ ہوتے تو ہم کھو گئے ہوتے,"Aap na hotay to hum kho gaye hotay,"
ہلکی سی دھوپ برسات کے بعد، تھوڑی سی خوشی ہر بات کے بعد، اِسی طرح مبارک ہو آپ کو، جشن آزادی 1 دِن کے بعد,"Halki si dhoop barsat k baad, thori si khushi her baat k baad, Isi tarah mubarak ho aap ko, Jashan-e-azadi 1 din k baad"
آج مَیں آپ سے اپنے دل کی بات کہنا چاہتی ہوں یہاں وہی 3 ورڈز جو آپ سننا چاہیں ہیں وہی 3 الفاظ جو آپ کے دل کو چھو لیں,Aaj main aap se apne dil ki bat kahna chahti hun han wohi 3 words jo aap sunna chahen han wohi 3 alfaz jo aap k dil ko chu len
جب تم کسی انسان کی طبیعت پرکھنا چاہتے ہو تو اُس سے مشورہ لو۔ یقیناً تم اُس کے مشورے سے اُس کا انصاف، ظلم اور بدی سب جان جاﺅ گے,"Jab tum kisi Insaan ki tabiat Parakhna chahete ho to us se Mashwara lo. Yaqinan tum us k Mashware se uska Insaf, Zulm or Badi sab jaan jaoge"
جو دنیا کی خدمت کرتا ہے دنیا اُسے اپنا خادم بنا لیتی ہے,Jo duniya ki khidmat karta hai duniya usay apna khadim bana leti hai
سب سے بڑا عیب یہ ہے کہ تم اُن باتوں کو دوسروں کے لئے عیب قرار دو جو تم میں خود موجود ہو,Sab se bada aib ye hai k tum un baton ko doosro'n k liye aib qaraar do jo tum mein khud maujood ho
اچھی بات تو سب کو اچھی لگتی ہے جب تمہیں کسی کی بری بات بھی بری نہ لگے تو سمجھ لینا تمہیں اُس سے محبت ہے,Acchi baat to sabko acchi lagti hai jb tumhe kisi ki buri baat bhi buri na lage to samaj lena tumhe usse MOHABBAT hai.
عزت دل میں ہونی چاہئے لفظوں میں نہیں۔ ناراضگی لفظوں میں ہونی چاہئے دل میں نہیں,Izzat dil me honi chahiye lafzon me nahi. Narazgi lafzon me honi chahiye dil me nahi.
آنسوؤں کو جذب کرنا سیکھو,Aanswon ko juzb karna sekho
آنسو ہر خوشی اور غم میں انسان کے ساتھ دیتے ہیں، آنسو بہنے سے دل کا بوجھ ہلکا ہوتا ہے,"Ansoo her khushi or ghum mein insaan ka saath detein hein, Ansoo bahane se dil ka boejh halka hota hai"
اگر انسان ایک پینسل بن کر کسی کی خوشیاں نہیں لکھ سکتے,"Agar Insan aik Pencil Ban Kar Kisi Ki KhushiYan Nahi Likh Sakte,"
آپ کا اپنا وہی ہے جو آپ کی برائی آپ کے منہ پر کر دیتا ہے نہ کہ وہ جو آپ کی جھوٹی تعریف کرے,ap ka apna wohi hay jo ap ki borai ap kay munh per ker dayta hay na kay woh jo ap ke joohti treef karay
دنیا کا سب سے رومینٹک ملک کون سا ہے؟,Duniya ka sb se Romantic mulk kon sa hy?
خدا کرے کہ میری ارض پاک پے اترے۔ وہ فصل گل، جسے اندیشہ زوال نہ ہو,"Khuda Kray K Meri Arz E Pak Pe Utray - Wo Fasl E Gul, Jisay Andaisha E Zawal Na Ho."
پاکستان تجھے سلام۔ روشن رہے تیرا کلام,Pakistan Tujhe Salaam - Roushan Rahey Tera Kalaam
یا رب میرے سوئے ہوئے دوست کو جگا دے۔ بستر ہے اُس کا نرم تو پتھر کا بنا دے,Ya rab mere soye hue dost ko jaga de - Bister hai uska naram to pathar ka bana de
یعنی ہر 5 منٹ لائٹ استعمال کریں اور 55 منٹ تک بجلی کی شاندار بچت حاصل کریں وہ بھی بالکل فری,Yani Har 5 Mint Light istimal karen Aur 55 Mint Tak Bijli ki Shandar Bachat Hasil karen woh Bhi Bilkul Free
مَیں نہیں جانتا کہ آپ کو کیوں ایس ایم ایس بھیجتا رہتا ہوں,Main Nahi JantA K Main apko Q SmS BhaijtA RehtA Hon
زندگی میں ہر دم ہنستے رہو، ہنسنا زندگی کی ضرورت ہے,"Zindagi me her dum hastey raho, Hasna zindagi ki zarorut hai"
آپ کی حرکتوں نے تو خاندان کی عزت پر داغ لگا دیا,ap ki harkaton ne to khandaan ki izzat par daagh laga diya.
قدرت نے ہمارے ملک کو خوبصورت، وسیع، اونچے اونچے پہاڑی سلسلوں اور چوٹیوں سے نوازا ہے۔ جن کا شمار دنیا کے بلند ترین پہاڑوں میں کِیا جاتا ہے,"Qudrat ne hamare mulk ko khobsurat, wasee, oonche oonche pahari silsilon aur chotiyon se nawaza hai. Jin ka shumar duniya ke buland tareen paharhon mien kiya jata hai."
بہت زیادہ بلندی کی وجہ سے آکسیجن کی کمی ہو جاتی ہے۔ جو اوپر چڑھنے والوں کی مشکلات میں اضافہ کر دیتی ہے,Bohat ziyada bulandi ki wajah se oxygen ki kami ho jati hai. Jo oper charhne walon ki mushkilaat mien izafa kar deti hai.
اِس کی فلک بوس عمارتیں سیاحوں کی دلچسپی کا باعث ہیں۔ شہر کی آبادی 2 کروڑ سے تجاوز کر چکی ہے,Is ki falak bos imarten sayyahon ki dilchaspi ka baiys hain. Shehar ki aabadi 2 crore se tajawuz kar chuki hai.
لاہور کو پاکستان کا دل بھی کہتے ہیں,Lahore ko Pakistan ka dil bhi kehte hain
کانفرنس کے دوران یہ تجویز منظور کر لی گئی اور اِس طرح خواتین کا عالمی دِن وجود میں آگیا,Conference ke doran ye tajwiz manzor kar li gai aur is tarah khawateen ka almi din wajod mein agaya.
اُن کی خواہش تہی کہ اپنی زندگی میں اردو کالج کی بنیاد رکھ دیں مگر قدرت کو یہ منظور نہ تھا,Un ki khuwahish rahi ke apni zindagi mein Urdu College ki bunyad rakh den magar qudrat ko ye manzor na tha
آپ کی پہلی شادی انگلستان جانے سے پہلے 1892 میں ہوئی تھی لیکن آپ کے قیام انگلستان کے دوران ہی اِن کا انتقال ہوگیا,App ki pehli shadi Englistan janay say pehlay 1892 mein hoye thi lakin app kay qiyame Eglistan kay doran hi inn ka intiqal hogaya.
چند نظموں اور غزلوں کی اصلاح کے بعد داغ دہلوی نے یہ لکھ دیا کہ آپ کو مزید اصلاح کی ضرورت نہیں ہے,Chand nazmon aur ghazlon ki islah ke bad Dagh Dehalvi ne ye likh deya ke ap ko mazid islah ki zarorat nahi hai.
قدرت نے آپ کو چار بیٹوں اور دو بیٹیوں سے نوازا,Qudrat ney app ko char beton aur do betion sey nawaza.
یہ وہ وقت تھا کہ پاکستان میں زیادہ لوگ اِن کے نام سے آشنا نہیں تھے,Yeh wo waqt tha ke Pakistan mein ziyada log in ke naam se aashna nahi the.
اِس زبان میں وہ بیان کِیا ہے جس کی اِس سے قبل نظیر نہیں ملتی,Is zaban mein wo bayan kiya hai jis ki is se qabal nazir nahi milti.
پڑوسی کے ساتھ اچھا سلوک کرو پکے مومن بن جاﺅ گے۔ اپنے لئے جو پسند کرتے ہو دوسروں کے لئے بھی پسند کرو کامل بن جاﺅ گے,Padosi k sath Achcha Suluk kro Pakke Momin Ban Jawoge. Apne liye Jo Pasand krte ho Dusraun k liye Bhi Pasand kro Kamil Muslim ban jawoge
منافق کی 3 نشانیاں ہیں، جب بات کرے تو جھوٹ بولے، جب وعدہ کرے تو توڑ دے، جب اِس کے پاس امانت رکھیں تو خیانت کرے,"Munafiq ki 3 nishaniyan hain, jab baat kare to jhut bole, jab wada kare to toud de, jab is ke pas amanat rakhe to khayanat kare"
لوگوں پر ایک ایسا زمانہ آئے گا جب کوئی اِس بات کی پروا نہ کرے گا کہ اُس نے جو مال حاصل کِیا ہے حلال ہے یا حرام,Logon par ek aisa zamana aega jab koi es baat ki parwah na karega ke us ne jo mal hasil kiya hai halal hai ya haraam
یتیم اور غلام کی تم لوگ اپنی اولاد کی طرح خاطر کرو اور ان کو وہ کھانا کھلاﺅ جو تم کھاتے ہو,Yateem aur Ghulam ki Tum log apni Aulad ki tarah khatir karo aur unko wo khana khilao jo tum khate ho
فضول خرچی کرنے والے شیطان کے بھائی ہیں، اور شیطان اپنے رب کا بہت ناشکرا ہے,"Fuzul kharchi karne wale shaitan ke bhai hain, aur shaitan apne rab ka bahut na-shukra hai"
صدقہ گناہوں کو اِس طرح ختم کر دیتا ہے جس طرح پانی آگ کو بھجا دیتا ہے,Sadqa gunahon ko is tarah khatam kar daita hai jis tarah pani aag ko buja daiti hai
یہ سارے کا سارا مکینک کا فالٹ ہے کمپنی سے بائیک بیسٹ سیٹنگ سے سیٹ ہو کر نکلتی ہے,yeh saare ka saara mechanic ke fault hai company se bike best settings se set hokar nikalte hai
بائیک واش کرتے وقت کوشش کرکے میٹر یا ہیڈ لایٹ کی جو وائیرنگ ہے اُس پر کم واٹر یوز کرو,bike wash karte waqat koshish karke meter ya headlight ki jo wiring hai us par kam water use karo
واپس آنے کے بعد کیمرا جہاں رکھا تھا ابھی تک وہاں ہی پڑا ہے,wapas aanay k baad camera jahan rakha tha abhi tak wahan he para hey
اِسی بات کا تو دکھ ہے۔ یہ ٹائم کچھ زیادہ ہونا چاہئے تھا,isee baat ka to dukh hy. yeh time kuch ziada hona chahye tha
اور مزے کی بات یہ ہے کہ ہم 3 دوست صرف ایک ہی بائیک پر تھے,aur mazy ki baat yeh hai k hum 3 dost sirf aik hi bike per they
میں اُس کے پاس گیا اُس نے ایک کو صحیح کردیا جو خراب تھا پر دوسرا جو صحیح تھا وہ خراب کردیا یہ جب میں فٹنگ کرا کے گھر آیا تو پتا چلا,mein uske pass gaya usne ek ko sahe kardiya jo kharaab tha par doosra jo sahe tha woh kharaab kardiya yeh jab mein fitting karaake ghar aaya toh pata chala
لیکن میری ایک شرط ہے اور وہ یہ کہ اگر آپ جیتے تو آپ مجھے ڈنر کروائیں گے اور اگر مَیں جیتا تو مَیں آپ سے ڈنر لوں گا کیا آپ کو منظور ہے,laikin meri aik shart hai or wo ye k agar aap jeetey to aap mujhe dinner karwaein gey or agar main jeeta to main aap se dinner loon ga kya aap ko manzoor hai
میری دونوں بائیکس آپ کی ہیں بھائی جان جو آپ کو چاہیے جب مرضی لے جائیں,meri dono bikes aap ki hain bhai jan jo aap ko chahiye jab marzi le jaein
کیا بچوں کی طرح سب روز ایک نیا کمنٹ کر دیتے ہیں,kya bachon ki tarah sab roz aik naya comment kar detay hain.
یہ پہلی بار ہے کہ میری کسی فورم پر کمنٹ کر رہا ہوں۔ صرف اِس وجہ سے کہ کیسے سب لوگ اپنے پیسے پھنسا کر بیٹھے ہیں اور ہاتھ پر ہاتھ رکھا ہے,yeh pehli baar hai k mein kisi forum par comment kar rha hoon. sirf iss wajah se k kesay sab log apney paisay phasa kar bethay hain aur haath par haath rakha hai
مَیں جب یہ لگوانے گیا تھا تو مکینک نے پوری چھان بین کر کے مجھ سے پوچھا تھا کہ کتنے کا لیا ہے,Main jab yeh legwaney gya tha tou mechanic ne puri chaan been ker ke mujh se poocha tha ke kitney ka liya ha
دوست سمجھے کہیں آپ نے میرے متعلق کہا,dost samjhay kahin aap ne mere mutalik kaha
اب مجھے آج مارکیٹ جانا ہے چچا کے ساتھ اور مارکیٹ جانے کے لئے میرے پاس بائیک بھی نہیں ہے,ab muhjay aj market jana hia chacha k sath aur market janay k liye mere pas bike b nahi hai
سب سے پہلی بات تو یہ کہ بھائی آپ نے اچھا کِیا کہ دل کھول کر اپنی ساری باتیں شیئر کیں اور سب کو اِس قابل سمجھا کہ وہ کچھ مشورہ دے سکیں,sabse pehli baat to yeh ke bhai aapne acha kia ke dil khol kar apni saari baatein share kein aur sabko is kabil samjha ke wo kuch mashwara de sakein
کوئی ایسا جو آپ میں سے کسی نے آزمایا ہوا ہو اور بہت ہی اچھا کام کرتا ہو,koi aisa jo aap may say kisi nay azmaya hua ho aur bahut he acha kaam karta ho
اچھا آپ کے جواب سے ایک کنفرمیشن ہوگئی,acha aap ke jawab se aiik confirmation ho gai
ماشاءاللہ یہ ہوئی نا کریٹیویٹی۔ زبردست,MashAllah ye hui na creativity. zabardast
ابھی 1234 پے ٹیکسٹ کر کے ہر نمبر کے لیے الگ Ufone میسج سیٹ کریں,Abhi 1234 pai text kar k har number k liye alg Ufone message set karein
میسج دیکھا کیا تم نے، اُس نے تو کل رات ہی بھیج دیا تھا,"message dekha kya tumne, usne toh kal raat hi bhej diya tha"
یار میسج کیوں نہیں کِیا ابھی تک، مَیں ویٹ کر رہا ہوں,"yaar message kyun nahi kiya abhi tak, main wait kar raha hun"
